Index,year,county,property,violent,total_index_crimes
1994-Steuben,1994,Steuben,3082,221,3303
1994-Suffolk,1994,Suffolk,48566,3154,51720
1994-Sullivan,1994,Sullivan,2734,381,3115
1994-Tioga,1994,Tioga,883,137,1020
1994-Tompkins,1994,Tompkins,4334,134,4468
1994-Ulster,1994,Ulster,4437,593,5030
1994-Warren,1994,Warren,2071,278,2349
1994-Washington,1994,Washington,1095,197,1292
1994-Wayne,1994,Wayne,2499,203,2702
1994-Westchester,1994,Westchester,27534,3632,31166
1994-Wyoming,1994,Wyoming,881,171,1052
1994-Yates,1994,Yates,556,52,608
1995-Albany,1995,Albany,15093,1606,16699
1995-Allegany,1995,Allegany,1087,160,1247
1995-Bronx,1995,Bronx,48737,24660,73397
1995-Broome,1995,Broome,6590,420,7010
1995-Cattaraugus,1995,Cattaraugus,2398,279,2677
1995-Cayuga,1995,Cayuga,2224,233,2457
1995-Chautauqua,1995,Chautauqua,5026,399,5425
1995-Chemung,1995,Chemung,3328,217,3545
1995-Chenango,1995,Chenango,1236,169,1405
1995-Clinton,1995,Clinton,1583,290,1873
1995-Columbia,1995,Columbia,1434,322,1756
1995-Cortland,1995,Cortland,2013,88,2101
1995-Delaware,1995,Delaware,1061,92,1153
1995-Dutchess,1995,Dutchess,6584,1103,7687
1995-Erie,1995,Erie,41718,8179,49897
1995-Essex,1995,Essex,653,74,727
1995-Franklin,1995,Franklin,1030,237,1267
1995-Fulton,1995,Fulton,2135,141,2276
1995-Genesee,1995,Genesee,1655,104,1759
1995-Greene,1995,Greene,1064,283,1347
1995-Hamilton,1995,Hamilton,148,3,151
1995-Herkimer,1995,Herkimer,1503,190,1693
1995-Jefferson,1995,Jefferson,2314,150,2464
1995-Kings,1995,Kings,83846,39887,123733
1995-Lewis,1995,Lewis,274,25,299
1995-Livingston,1995,Livingston,1534,140,1674
1995-Madison,1995,Madison,1584,69,1653
1995-Monroe,1995,Monroe,36932,3071,40003
1995-Montgomery,1995,Montgomery,1265,108,1373
1995-Nassau,1995,Nassau,30031,3198,33229
1995-New York,1995,New York,98543,25095,123638
1995-Niagara,1995,Niagara,8507,865,9372
1995-Oneida,1995,Oneida,7427,617,8044
1995-Onondaga,1995,Onondaga,18685,1804,20489
1995-Ontario,1995,Ontario,2464,128,2592
1995-Orange,1995,Orange,9232,1174,10406
1995-Orleans,1995,Orleans,776,83,859
1995-Oswego,1995,Oswego,3190,164,3354
1995-Otsego,1995,Otsego,1214,110,1324
1995-Putnam,1995,Putnam,1294,60,1354
1995-Queens,1995,Queens,86146,21789,107935
1995-Rensselaer,1995,Rensselaer,5102,463,5565
1995-Richmond,1995,Richmond,11080,2749,13829
1995-Rockland,1995,Rockland,7820,767,8587
1995-Saratoga,1995,Saratoga,3767,519,4286
1995-Schenectady,1995,Schenectady,6029,616,6645
1995-Schoharie,1995,Schoharie,535,51,586
1995-Schuyler,1995,Schuyler,466,38,504
1995-Seneca,1995,Seneca,748,43,791
1995-St Lawrence,1995,St Lawrence,3005,205,3210
1995-Steuben,1995,Steuben,3252,214,3466
1995-Suffolk,1995,Suffolk,44429,2758,47187
1995-Sullivan,1995,Sullivan,2690,341,3031
1995-Tioga,1995,Tioga,821,98,919
1995-Tompkins,1995,Tompkins,3891,163,4054
1995-Ulster,1995,Ulster,4252,524,4776
1995-Warren,1995,Warren,2077,281,2358
1995-Washington,1995,Washington,1233,162,1395
1995-Wayne,1995,Wayne,2150,183,2333
1995-Westchester,1995,Westchester,27429,3572,31001
1995-Wyoming,1995,Wyoming,1008,138,1146
1995-Yates,1995,Yates,491,60,551
1996-Albany,1996,Albany,12268,1408,13676
1996-Allegany,1996,Allegany,1003,93,1096
1996-Bronx,1996,Bronx,43157,20615,63772
1996-Broome,1996,Broome,7059,424,7483
1996-Cattaraugus,1996,Cattaraugus,2130,251,2381
1996-Cayuga,1996,Cayuga,2089,163,2252
1996-Chautauqua,1996,Chautauqua,4810,341,5151
1996-Chemung,1996,Chemung,3337,273,3610
1996-Chenango,1996,Chenango,1257,161,1418
1996-Clinton,1996,Clinton,1628,357,1985
1996-Columbia,1996,Columbia,1480,231,1711
1996-Cortland,1996,Cortland,2114,128,2242
1996-Delaware,1996,Delaware,1034,87,1121
