Index,year,county,population,firearm_count
2014-Clinton,2014,Clinton,81604,5
2014-Columbia,2014,Columbia,62148,4
2014-Cortland,2014,Cortland,48983,4
2014-Delaware,2014,Delaware,45709,11
2014-Dutchess,2014,Dutchess,297173,106
2014-Erie,2014,Erie,921558,1103
2014-Essex,2014,Essex,37221,8
2014-Franklin,2014,Franklin,51796,6
2014-Fulton,2014,Fulton,54329,8
2014-Genesee,2014,Genesee,59274,6
2014-Greene,2014,Greene,48364,10
2014-Hamilton,2014,Hamilton,4766,0
2014-Herkimer,2014,Herkimer,64218,7
2014-Jefferson,2014,Jefferson,120437,13
2014-Kings,2014,Kings,2609972.904,0
2014-Lewis,2014,Lewis,27211,7
2014-Livingston,2014,Livingston,64636,4
2014-Madison,2014,Madison,72243,2
2014-Monroe,2014,Monroe,752007,711
2014-Montgomery,2014,Montgomery,49874,2
2014-Nassau,2014,Nassau,1357041,437
2014-New York,2014,New York,1635470.034,0
2014-Niagara,2014,Niagara,214023,183
2014-Oneida,2014,Oneida,233634,155
2014-Onondaga,2014,Onondaga,469355,309
2014-Ontario,2014,Ontario,109535,5
2014-Orange,2014,Orange,376716,170
2014-Orleans,2014,Orleans,42149,4
2014-Oswego,2014,Oswego,121109,7
2014-Otsego,2014,Otsego,61644,7
2014-Putnam,2014,Putnam,99778,3
2014-Queens,2014,Queens,2313385.074,0
2014-Rensselaer,2014,Rensselaer,160303,95
2014-Richmond,2014,Richmond,474540.528,0
2014-Rockland,2014,Rockland,323543,30
2014-Saratoga,2014,Saratoga,225201,12
2014-Schenectady,2014,Schenectady,155678,103
2014-Schoharie,2014,Schoharie,31691,0
2014-Schuyler,2014,Schuyler,18529,1
2014-Seneca,2014,Seneca,35503,2
2014-Steuben,2014,Steuben,98730,5
2014-St Lawrence,2014,St Lawrence,112184,2
2014-Suffolk,2014,Suffolk,1503376,360
2014-Sullivan,2014,Sullivan,76591,23
2014-Tioga,2014,Tioga,50124,2
2014-Tompkins,2014,Tompkins,104271,11
2014-Ulster,2014,Ulster,180937,30
2014-Warren,2014,Warren,65353,1
2014-Washington,2014,Washington,63134,6
2014-Wayne,2014,Wayne,92302,11
2014-Westchester,2014,Westchester,974944,270
2014-Wyoming,2014,Wyoming,41454,3
2014-Yates,2014,Yates,25146,3
2013-Albany,2013,Albany,306300,150
2013-Allegany,2013,Allegany,48220,2
2013-Bronx,2013,Bronx,1427341.42,0
